,confirm,suspect,heal,dead,severe,storeConfirm,input
2020-01-20,291,27,25,6,0,,
2020-01-21,149,26,-25,3,0,,
2020-01-22,131,257,28,8,0,,
2020-01-23,259,680,6,8,0,,
2020-01-24,444,1118,4,16,0,,
2020-01-25,688,1309,11,15,0,,
2020-01-26,769,3806,2,24,0,,
2020-01-27,1771,2077,9,26,0,,
2020-01-28,1459,3248,43,26,0,,
2020-01-29,1737,4148,21,38,0,,
2020-01-30,1981,4812,47,43,0,,
2020-01-31,2099,5019,72,46,0,,
2020-02-01,2589,4562,85,45,0,,
2020-02-02,2825,5173,147,57,0,,
2020-02-03,3233,5072,157,64,0,,
2020-02-04,3886,3971,260,65,0,,
2020-02-05,3694,5328,261,73,0,,
2020-02-06,3193,4833,387,73,0,,
2020-02-07,3437,4214,510,86,0,,
2020-02-08,2652,3916,599,89,0,,
2020-02-09,2973,4008,632,97,0,,
2020-02-10,2467,3536,715,108,0,,
2020-02-11,2015,3342,644,97,0,,
2020-02-12,14108,2807,1002,146,0,,
2020-02-13,5090,2450,1081,121,0,,
2020-02-14,2641,2277,1373,143,0,,
2020-02-15,2008,1918,1323,142,0,,
2020-02-16,2048,1563,1425,105,0,,
2020-02-17,1888,1432,1708,98,0,,
2020-02-18,1749,1185,1824,136,0,,
2020-02-19,817,1277,1781,114,0,,
2020-02-20,889,1614,2109,118,0,,
2020-02-21,397,1361,2393,109,0,,
2020-02-22,453,882,2229,97,0,,
2020-02-23,409,620,1846,150,0,,
2020-02-24,508,530,2589,71,0,,
2020-02-25,406,439,2422,52,0,,
2020-02-26,433,508,2750,29,0,,
2020-02-27,327,452,3622,44,0,,
2020-02-28,427,248,2885,47,0,,
2020-02-29,573,132,2623,35,0,,
2020-03-01,202,141,2837,42,0,,
2020-03-02,125,129,2742,31,0,,
2020-03-03,119,143,2652,38,0,,
2020-03-04,139,143,2189,31,0,,2.0
2020-03-05,143,102,1681,30,0,,-20.0
2020-03-06,99,99,1678,28,0,,-36.0
2020-03-07,44,84,1661,27,0,,-60.0
2020-03-08,40,60,1535,22,0,,-63.0
2020-03-09,19,36,1297,17,0,,-67.0
2020-03-10,24,31,1578,22,0,,-69.0
2020-03-11,15,33,1318,11,0,,-79.0
2020-03-12,20,33,1318,7,0,,-85.0
2020-03-13,11,17,1430,13,0,,-88.0
2020-03-14,20,39,1370,10,0,,-95.0
2020-03-15,16,41,838,14,0,,-111.0
2020-03-16,21,45,930,13,0,,-123.0
2020-03-17,13,21,922,11,0,,-143.0
2020-03-18,34,23,819,8,0,,-155.0
2020-03-19,39,31,730,3,0,,-189.0
2020-03-20,41,36,590,7,0,,-228.0
2020-03-21,46,45,504,6,0,,-269.0
2020-03-22,39,47,459,9,0,,-314.0
2020-03-23,78,35,456,7,0,,-353.0
2020-03-24,47,33,491,4,0,,-427.0
2020-03-25,67,58,401,6,0,,-474.0
2020-03-26,55,49,537,5,0,,-541.0
2020-03-27,54,29,383,3,0,,98.0
2020-03-28,45,28,477,5,0,,-649.0
2020-03-29,31,17,322,4,0,,-693.0
2020-03-30,48,44,282,1,0,,0.0
2020-03-31,36,26,186,7,0,,35.0
2020-04-01,35,20,170,6,0,,35.0
2020-04-02,31,12,163,4,0,,29.0
2020-04-03,19,11,180,4,0,,18.0
2020-04-04,30,11,213,3,0,,25.0
2020-04-05,39,10,114,1,0,,38.0
2020-04-06,32,12,89,0,0,,32.0
2020-04-07,62,12,112,2,0,,59.0
2020-04-08,63,17,91,2,0,,61.0
2020-04-09,42,3,85,1,0,,38.0
2020-04-10,46,8,70,3,0,,42.0
2020-04-11,99,49,50,0,0,,97.0
2020-04-12,108,6,88,2,0,,98.0
2020-04-13,89,3,75,0,0,,86.0
2020-04-14,0,11,0,0,0,,36.0
2020-04-15,46,4,76,0,0,,34.0
2020-04-16,26,3,52,0,0,,15.0
2020-04-17,27,5,50,0,0,,17.0
2020-04-18,0,2,0,0,0,,9.0
2020-04-19,0,2,0,0,0,,8.0
2020-04-20,0,3,0,0,0,,4.0
2020-04-21,0,3,0,0,0,,23.0
2020-04-22,10,0,56,0,0,,6.0
2020-04-23,6,2,50,0,0,,2.0
2020-04-24,0,3,0,0,0,,11.0
2020-04-25,0,0,0,0,0,,5.0
2020-04-26,0,5,0,0,0,,2.0
2020-04-27,0,1,0,0,0,,3.0
2020-04-28,22,2,23,0,0,,21.0
2020-04-29,0,3,0,0,0,,4.0
2020-04-30,0,3,0,0,0,,6.0
2020-05-01,0,2,0,0,0,,1.0
2020-05-02,0,0,0,0,0,,1.0
2020-05-03,3,1,53,0,0,,3.0
2020-05-04,1,0,87,0,0,,1.0
2020-05-05,0,3,0,0,0,,2.0
2020-05-06,0,2,0,0,0,,2.0
2020-05-07,0,3,0,0,0,,0.0
2020-05-08,0,2,0,0,0,,1.0
2020-05-09,14,1,74,0,0,,2.0
2020-05-10,17,0,24,0,0,,7.0
2020-05-11,1,1,27,0,0,,1.0
2020-05-12,7,1,18,0,0,,1.0
2020-05-13,3,0,6,0,0,,0.0
2020-05-14,4,1,14,0,0,,0.0
2020-05-15,8,2,10,0,0,,6.0
2020-05-16,5,2,8,0,0,,2.0
2020-05-17,7,1,11,0,0,,4.0
